season,week,game_type,gameday,home_team,away_team,home_score,away_score,home_rest,away_rest,div_game
1999,1,REG,1999-09-12,ATL,MIN,14,17,7,7,0
1999,1,REG,1999-09-12,CHI,KC,20,17,7,7,0
1999,1,REG,1999-09-12,CLE,PIT,0,43,7,7,1
1999,1,REG,1999-09-12,GB,LV,28,24,7,7,0
1999,1,REG,1999-09-12,IND,BUF,31,14,7,7,1
1999,1,REG,1999-09-12,JAX,SF,41,3,7,7,0
1999,1,REG,1999-09-12,NO,CAR,19,10,7,7,1
1999,1,REG,1999-09-12,NYJ,NE,28,30,7,7,1
1999,1,REG,1999-09-12,PHI,ARI,24,25,7,7,1
1999,1,REG,1999-09-12,SEA,DET,20,28,7,7,0
1999,1,REG,1999-09-12,LA,BAL,27,10,7,7,0
1999,1,REG,1999-09-12,TB,NYG,13,17,7,7,0
1999,1,REG,1999-09-12,TEN,CIN,36,35,7,7,1
1999,1,REG,1999-09-12,WAS,DAL,35,41,7,7,1
1999,1,REG,1999-09-13,DEN,MIA,21,38,7,7,0
1999,2,REG,1999-09-19,BAL,PIT,20,23,7,7,1
1999,2,REG,1999-09-19,BUF,NYJ,17,3,7,7,1
1999,2,REG,1999-09-19,CAR,JAX,20,22,7,7,0
1999,2,REG,1999-09-19,CHI,SEA,13,14,7,7,0
1999,2,REG,1999-09-19,CIN,LAC,7,34,7,14,0
1999,2,REG,1999-09-19,DET,GB,23,15,7,7,1
1999,2,REG,1999-09-19,KC,DEN,26,10,7,6,1
1999,2,REG,1999-09-19,MIA,ARI,19,16,6,7,0
1999,2,REG,1999-09-19,MIN,LV,17,22,7,7,0
1999,2,REG,1999-09-19,NE,IND,31,28,7,7,1
1999,2,REG,1999-09-19,NYG,WAS,21,50,7,7,1
1999,2,REG,1999-09-19,PHI,TB,5,19,7,7,0
1999,2,REG,1999-09-19,SF,NO,28,21,7,7,1
1999,2,REG,1999-09-19,TEN,CLE,26,9,7,7,1
1999,2,REG,1999-09-20,DAL,ATL,24,7,8,8,0
1999,3,REG,1999-09-26,BAL,CLE,17,10,7,7,1
1999,3,REG,1999-09-26,BUF,PHI,26,0,7,7,0
1999,3,REG,1999-09-26,CAR,CIN,27,3,7,7,0
1999,3,REG,1999-09-26,GB,MIN,23,20,7,7,1
1999,3,REG,1999-09-26,JAX,TEN,19,20,7,7,1
1999,3,REG,1999-09-26,KC,DET,31,21,7,7,0
1999,3,REG,1999-09-26,NE,NYG,16,14,7,7,0
1999,3,REG,1999-09-26,NYJ,WAS,20,27,7,7,0
1999,3,REG,1999-09-26,LV,CHI,24,17,7,7,0
1999,3,REG,1999-09-26,PIT,SEA,10,29,7,7,0
1999,3,REG,1999-09-26,LAC,IND,19,27,7,7,0
1999,3,REG,1999-09-26,LA,ATL,35,7,14,6,1
1999,3,REG,1999-09-26,TB,DEN,13,10,7,7,0
1999,3,REG,1999-09-27,ARI,SF,10,24,8,8,0
1999,4,REG,1999-10-03,ATL,BAL,13,19,7,7,0
1999,4,REG,1999-10-03,CHI,NO,14,10,7,14,0
1999,4,REG,1999-10-03,CIN,LA,10,38,7,7,0
1999,4,REG,1999-10-03,CLE,NE,7,19,7,7,0
1999,4,REG,1999-10-03,DAL,ARI,35,7,13,6,1
1999,4,REG,1999-10-03,DEN,NYJ,13,21,7,7,0
1999,4,REG,1999-10-03,MIN,TB,21,14,7,7,1
1999,4,REG,1999-10-03,NYG,PHI,16,15,7,7,1
1999,4,REG,1999-10-03,PIT,JAX,3,17,7,7,1
1999,4,REG,1999-10-03,LAC,KC,21,14,7,7,1
1999,4,REG,1999-10-03,SEA,LV,22,21,7,7,1
1999,4,REG,1999-10-03,SF,TEN,24,22,6,7,0
1999,4,REG,1999-10-03,WAS,CAR,38,36,7,7,0
1999,4,REG,1999-10-04,MIA,BUF,18,23,15,8,1
1999,5,REG,1999-10-10,ARI,NYG,14,3,7,7,1
1999,5,REG,1999-10-10,BUF,PIT,24,21,6,7,0
1999,5,REG,1999-10-10,CLE,CIN,17,18,7,7,1
1999,5,REG,1999-10-10,DET,LAC,10,20,14,7,0
1999,5,REG,1999-10-10,GB,TB,26,23,14,7,1
1999,5,REG,1999-10-10,IND,MIA,31,34,14,6,1
